id,date_europe_rome,date_gmt,title,original_url,old_urls,categories,tags,language,attachments,missing,featured_image,content_file
xnet-warns-whistleblowers-aware-fake-anonymous-whistleblowing-boxes,2017-12-01 09:46:01,2017-12-01T08:46:01Z,Xnet Warns Whistleblowers: Beware of Fake Anonymous Whistleblowing Boxes,https://www.hermescenter.org/xnet-warns-whistleblowers-aware-fake-anonymous-whistleblowing-boxes/,,News,,EN,1,0,,data/posts/xnet-warns-whistleblowers-aware-fake-anonymous-whistleblowing-boxes/content.html
net-neutrality-device-neutrality,2017-12-04 14:18:32,2017-12-04T13:18:32Z,"After Net Neutrality, Device Neutrality",https://www.hermescenter.org/net-neutrality-device-neutrality/,,News; Press,,EN,1,0,,data/posts/net-neutrality-device-neutrality/content.html
profilazione-massiva-internet-italia-intervenga-il-garante,2018-01-22 11:52:29,2018-01-22T10:52:29Z,Profilazione massiva internet in Italia: Intervenga il Garante!,https://www.hermescenter.org/profilazione-massiva-internet-italia-intervenga-il-garante/,,News; Press,,IT,1,0,,data/posts/profilazione-massiva-internet-italia-intervenga-il-garante/content.html
europols-foia-data-retention-carrier-grade-nat,2018-01-22 12:01:31,2018-01-22T11:01:31Z,Europol’s FOIA on Data Retention with Carrier Grade NAT,https://www.hermescenter.org/europols-foia-data-retention-carrier-grade-nat/,,News; Press,,EN,0,0,,data/posts/europols-foia-data-retention-carrier-grade-nat/content.html
whistleblowing-digitale-master-anticorruzione-alla-universita-tor-vergata-transparencyinternational-anac-riparteilfuturo-cortedicassazione,2018-02-18 12:40:52,2018-02-18T11:40:52Z,Whistleblowing Digitale Master Anticorruzione alla Università Tor Vergata,https://www.hermescenter.org/whistleblowing-digitale-master-anticorruzione-alla-universita-tor-vergata-transparencyinternational-anac-riparteilfuturo-cortedicassazione/,,News,,IT,0,1,,data/posts/whistleblowing-digitale-master-anticorruzione-alla-universita-tor-vergata-transparencyinternational-anac-riparteilfuturo-cortedicassazione/content.html
il-ruolo-del-whistleblowing-nella-cybersecurity-27001,2018-02-26 13:50:48,2018-02-26T12:50:48Z,Il Ruolo del Whistleblowing nella CyberSecurity,https://www.hermescenter.org/il-ruolo-del-whistleblowing-nella-cybersecurity-27001/,,News; Press,,IT,1,1,,data/posts/il-ruolo-del-whistleblowing-nella-cybersecurity-27001/content.html
il-piu-grande-filtro-internet-che-leuropa-abbia-mai-visto-realizzare,2018-02-28 11:32:26,2018-02-28T10:32:26Z,Il più grande filtro internet che l’Europa abbia mai visto realizzare,https://www.hermescenter.org/il-piu-grande-filtro-internet-che-leuropa-abbia-mai-visto-realizzare/,,News; Press,,IT,0,0,,data/posts/il-piu-grande-filtro-internet-che-leuropa-abbia-mai-visto-realizzare/content.html
software-di-whistleblowing-digitale-globaleaks-al-merge-it,2018-03-26 10:07:34,2018-03-26T08:07:34Z,Software di Whistleblowing Digitale GlobaLeaks al MERGE-IT,https://www.hermescenter.org/software-di-whistleblowing-digitale-globaleaks-al-merge-it/,,News,,IT,0,0,,data/posts/software-di-whistleblowing-digitale-globaleaks-al-merge-it/content.html
announcement-hermes-center-members-and-fellows-participate-at-the-international-journalism-festival-2018-ijf18,2018-04-09 23:06:51,2018-04-09T21:06:51Z,Announcement: Hermes Center members and fellows participate at the International Journalism Festival 2018 #ijf18,https://www.hermescenter.org/announcement-hermes-center-members-and-fellows-participate-at-the-international-journalism-festival-2018-ijf18/,,News,,EN,1,0,,data/posts/announcement-hermes-center-members-and-fellows-participate-at-the-international-journalism-festival-2018-ijf18/content.html
centro-hermes-partecipa-a-consultazione-su-acquisizione-e-riuso-di-software-con-riferimento-al-whistleblowing-anticorruzione,2018-05-06 12:58:12,2018-05-06T10:58:12Z,Centro Hermes partecipa a Consultazione su acquisizione e riuso di software con riferimento al Whistleblowing Anticorruzione,https://www.hermescenter.org/centro-hermes-partecipa-a-consultazione-su-acquisizione-e-riuso-di-software-con-riferimento-al-whistleblowing-anticorruzione/,,News; Press,,IT,0,0,,data/posts/centro-hermes-partecipa-a-consultazione-su-acquisizione-e-riuso-di-software-con-riferimento-al-whistleblowing-anticorruzione/content.html
